season,deployment_id,camera_name,image_filename,timestamp_recorded,temperature_c
2023-2024,SC9,WASP,SC9_20240125072201.JPG,2024-01-25T07:22:01,12.0
2023-2024,SC9,WASP,SC9_20240125073201.JPG,2024-01-25T07:32:01,12.0
2023-2024,SC9,WASP,SC9_20240125074201.JPG,2024-01-25T07:42:01,12.0
2023-2024,SC9,WASP,SC9_20240125075201.JPG,2024-01-25T07:52:01,12.0
2023-2024,SC9,WASP,SC9_20240125080201.JPG,2024-01-25T08:02:01,12.0
2023-2024,SC9,WASP,SC9_20240125081201.JPG,2024-01-25T08:12:01,12.0
2023-2024,SC9,WASP,SC9_20240125082201.JPG,2024-01-25T08:22:01,12.0
2023-2024,SC9,WASP,SC9_20240125083201.JPG,2024-01-25T08:32:01,12.0
2023-2024,SC9,WASP,SC9_20240125084201.JPG,2024-01-25T08:42:01,12.0
2023-2024,SC9,WASP,SC9_20240125085201.JPG,2024-01-25T08:52:01,12.0
2023-2024,SC9,WASP,SC9_20240125090201.JPG,2024-01-25T09:02:01,13.0
2023-2024,SC9,WASP,SC9_20240125091201.JPG,2024-01-25T09:12:01,13.0
2023-2024,SC9,WASP,SC9_20240125092201.JPG,2024-01-25T09:22:01,13.0
2023-2024,SC9,WASP,SC9_20240125093201.JPG,2024-01-25T09:32:01,13.0
2023-2024,SC9,WASP,SC9_20240125094201.JPG,2024-01-25T09:42:01,13.0
2023-2024,SC9,WASP,SC9_20240125095201.JPG,2024-01-25T09:52:01,14.0
2023-2024,SC9,WASP,SC9_20240125100201.JPG,2024-01-25T10:02:01,14.0
2023-2024,SC9,WASP,SC9_20240125101201.JPG,2024-01-25T10:12:01,14.0
2023-2024,SC9,WASP,SC9_20240125102201.JPG,2024-01-25T10:22:01,15.0
2023-2024,SC9,WASP,SC9_20240125103201.JPG,2024-01-25T10:32:01,15.0
2023-2024,SC9,WASP,SC9_20240125104201.JPG,2024-01-25T10:42:01,16.0
2023-2024,SC9,WASP,SC9_20240125105201.JPG,2024-01-25T10:52:01,20.0
2023-2024,SC9,WASP,SC9_20240125110201.JPG,2024-01-25T11:02:01,23.0
2023-2024,SC9,WASP,SC9_20240125111201.JPG,2024-01-25T11:12:01,24.0
2023-2024,SC9,WASP,SC9_20240125112201.JPG,2024-01-25T11:22:01,25.0
2023-2024,SC9,WASP,SC9_20240125113201.JPG,2024-01-25T11:32:01,25.0
2023-2024,SC9,WASP,SC9_20240125114201.JPG,2024-01-25T11:42:01,25.0
2023-2024,SC9,WASP,SC9_20240125115201.JPG,2024-01-25T11:52:01,25.0
2023-2024,SC9,WASP,SC9_20240125120201.JPG,2024-01-25T12:02:01,25.0
2023-2024,SC9,WASP,SC9_20240125121201.JPG,2024-01-25T12:12:01,25.0
2023-2024,SC9,WASP,SC9_20240125122201.JPG,2024-01-25T12:22:01,24.0
2023-2024,SC9,WASP,SC9_20240125123201.JPG,2024-01-25T12:32:01,23.0
2023-2024,SC9,WASP,SC9_20240125124201.JPG,2024-01-25T12:42:01,23.0
2023-2024,SC9,WASP,SC9_20240125125201.JPG,2024-01-25T12:52:01,23.0
2023-2024,SC9,WASP,SC9_20240125130201.JPG,2024-01-25T13:02:01,22.0
2023-2024,SC9,WASP,SC9_20240125131201.JPG,2024-01-25T13:12:01,22.0
2023-2024,SC9,WASP,SC9_20240125132201.JPG,2024-01-25T13:22:01,22.0
2023-2024,SC9,WASP,SC9_20240125133201.JPG,2024-01-25T13:32:01,21.0
2023-2024,SC9,WASP,SC9_20240125134201.JPG,2024-01-25T13:42:01,21.0
2023-2024,SC9,WASP,SC9_20240125135201.JPG,2024-01-25T13:52:01,21.0
2023-2024,SC9,WASP,SC9_20240125140201.JPG,2024-01-25T14:02:01,20.0
2023-2024,SC9,WASP,SC9_20240125141201.JPG,2024-01-25T14:12:01,20.0
2023-2024,SC9,WASP,SC9_20240125142201.JPG,2024-01-25T14:22:01,19.0
2023-2024,SC9,WASP,SC9_20240125143201.JPG,2024-01-25T14:32:01,19.0
2023-2024,SC9,WASP,SC9_20240125144201.JPG,2024-01-25T14:42:01,19.0
2023-2024,SC9,WASP,SC9_20240125145201.JPG,2024-01-25T14:52:01,20.0
2023-2024,SC9,WASP,SC9_20240125150201.JPG,2024-01-25T15:02:01,19.0
2023-2024,SC9,WASP,SC9_20240125151201.JPG,2024-01-25T15:12:01,18.0
2023-2024,SC9,WASP,SC9_20240125152201.JPG,2024-01-25T15:22:01,17.0
2023-2024,SC9,WASP,SC9_20240125153201.JPG,2024-01-25T15:32:01,17.0
2023-2024,SC9,WASP,SC9_20240125154201.JPG,2024-01-25T15:42:01,16.0
2023-2024,SC9,WASP,SC9_20240125155201.JPG,2024-01-25T15:52:01,16.0
2023-2024,SC9,WASP,SC9_20240125160201.JPG,2024-01-25T16:02:01,15.0
2023-2024,SC9,WASP,SC9_20240125161201.JPG,2024-01-25T16:12:01,14.0
2023-2024,SC9,WASP,SC9_20240125162201.JPG,2024-01-25T16:22:01,14.0
